countyname,fips,state,year,cases_count,deaths_count
Autauga County,1001,Alabama,2021,2871893,41785
Autauga County,1001,Alabama,2022,5301518,67890
Baldwin County,1003,Alabama,2021,9751057,136369
Baldwin County,1003,Alabama,2022,18880887,218429
Barbour County,1005,Alabama,2021,983791,22337
Barbour County,1005,Alabama,2022,1924879,31432
Bibb County,1007,Alabama,2021,1144559,25347
Bibb County,1007,Alabama,2022,2163950,33348
Blount County,1009,Alabama,2021,2851498,52469
Blount County,1009,Alabama,2022,4980822,77389
Bullock County,1011,Alabama,2021,475274,14616
Bullock County,1011,Alabama,2022,794061,16949
Butler County,1013,Alabama,2021,922146,27783
Butler County,1013,Alabama,2022,1716667,40336
Calhoun County,1015,Alabama,2021,6084005,129869
Calhoun County,1015,Alabama,2022,10822441,200434
Chambers County,1017,Alabama,2021,1550459,44160
Chambers County,1017,Alabama,2022,2878780,52108
Cherokee County,1019,Alabama,2021,818383,17412
Cherokee County,1019,Alabama,2022,1715526,27255
Chilton County,1021,Alabama,2021,1842132,44485
Chilton County,1021,Alabama,2022,3627129,65841
Choctaw County,1023,Alabama,2021,249429,9206
Choctaw County,1023,Alabama,2022,654391,11850
Clarke County,1025,Alabama,2021,1417386,23343
Clarke County,1025,Alabama,2022,2362424,32413
Clay County,1027,Alabama,2021,663867,21443
Clay County,1027,Alabama,2022,1367543,26425
Cleburne County,1029,Alabama,2021,650656,16371
Cleburne County,1029,Alabama,2022,1182059,22086
Coffee County,1031,Alabama,2021,2469979,48937
Coffee County,1031,Alabama,2022,4585453,74311
Colbert County,1033,Alabama,2021,2606641,54443
Colbert County,1033,Alabama,2022,5499396,82452
Conecuh County,1035,Alabama,2021,498349,13171
Conecuh County,1035,Alabama,2022,965035,22468
Coosa County,1037,Alabama,2021,458558,11124
Coosa County,1037,Alabama,2022,995799,18626
Covington County,1039,Alabama,2021,1827503,48861
Covington County,1039,Alabama,2022,3145185,75120
Crenshaw County,1041,Alabama,2021,670463,22185
Crenshaw County,1041,Alabama,2022,1276668,31678
Cullman County,1043,Alabama,2021,4201094,78769
Cullman County,1043,Alabama,2022,8297199,117178
Dale County,1045,Alabama,2021,2269751,48275
Dale County,1045,Alabama,2022,4362905,74045
Dallas County,1047,Alabama,2021,1467657,58762
Dallas County,1047,Alabama,2022,2856750,78290
DeKalb County,1049,Alabama,2021,3675024,73113
DeKalb County,1049,Alabama,2022,6209336,104992
Elmore County,1051,Alabama,2021,4264786,80364
Elmore County,1051,Alabama,2022,7893984,110702
Escambia County,1053,Alabama,2021,1786843,33261
Escambia County,1053,Alabama,2022,3372520,54616
Etowah County,1055,Alabama,2021,5736968,138352
Etowah County,1055,Alabama,2022,9482172,205710
Fayette County,1057,Alabama,2021,876518,23285
Fayette County,1057,Alabama,2022,1623048,30607
Franklin County,1059,Alabama,2021,1762598,31201
Franklin County,1059,Alabama,2022,3258615,44208
Geneva County,1061,Alabama,2021,1164739,32620
Geneva County,1061,Alabama,2022,2146134,52145
Greene County,1063,Alabama,2021,374637,13279
Greene County,1063,Alabama,2022,625540,16028
Hale County,1065,Alabama,2021,902532,27631
Hale County,1065,Alabama,2022,1576786,33788
Henry County,1067,Alabama,2021,842951,17265
Henry County,1067,Alabama,2022,1544154,24226
Houston County,1069,Alabama,2021,4683928,111944
Houston County,1069,Alabama,2022,8652139,161465
Jackson County,1071,Alabama,2021,2844462,46111
Jackson County,1071,Alabama,2022,4972124,76868
Jefferson County,1073,Alabama,2021,32568354,578366
Jefferson County,1073,Alabama,2022,62772312,754677
Lamar County,1075,Alabama,2021,615842,13996
Lamar County,1075,Alabama,2022,1250226,21199
Lauderdale County,1077,Alabama,2021,3992566,88540
Lauderdale County,1077,Alabama,2022,8087150,125294
Lawrence County,1079,Alabama,2021,1270211,36268
Lawrence County,1079,Alabama,2022,2548303,51566
Lee County,1081,Alabama,2021,6743546,68410
Lee County,1081,Alabama,2022,12756508,107625
Limestone County,1083,Alabama,2021,4264342,58938
Limestone County,1083,Alabama,2022,8440617,92750
Lowndes County,1085,Alabama,2021,543135,19896
Lowndes County,1085,Alabama,2022,885254,24643
Macon County,1087,Alabama,2021,658953,18998
Macon County,1087,Alabama,2022,1335004,26768
Madison County,1089,Alabama,2021,14590548,195208
Madison County,1089,Alabama,2022,30409666,307128
Marengo County,1091,Alabama,2021,1002153,24747
Marengo County,1091,Alabama,2022,1706651,34514
Marion County,1093,Alabama,2021,1369746,38352
Marion County,1093,Alabama,2022,2709355,48367
Marshall County,1095,Alabama,2021,5155981,86815
Marshall County,1095,Alabama,2022,9057700,124541
Mobile County,1097,Alabama,2021,18725168,348310
Mobile County,1097,Alabama,2022,37678422,529729
Monroe County,1099,Alabama,2021,834285,16240
Monroe County,1099,Alabama,2022,1774709,25696
Montgomery County,1101,Alabama,2021,9945480,221149
Montgomery County,1101,Alabama,2022,18888437,302266
Morgan County,1103,Alabama,2021,6037340,107314
Morgan County,1103,Alabama,2022,12171111,163902
Perry County,1105,Alabama,2021,429730,10845
Perry County,1105,Alabama,2022,708232,14777
Pickens County,1107,Alabama,2021,950324,23336
Pickens County,1107,Alabama,2022,1736531,33349
Pike County,1109,Alabama,2021,1334994,29456
Pike County,1109,Alabama,2022,2518713,42716
Randolph County,1111,Alabama,2021,826819,17780
Randolph County,1111,Alabama,2022,1702496,24429
Russell County,1113,Alabama,2021,1852091,15863
Russell County,1113,Alabama,2022,3431604,30453
St. Clair County,1115,Alabama,2021,4309243,94611
St. Clair County,1115,Alabama,2022,8577905,133424
Shelby County,1117,Alabama,2021,10364011,96786
Shelby County,1117,Alabama,2022,20431804,144186
Sumter County,1119,Alabama,2021,412158,12300
Sumter County,1119,Alabama,2022,853369,16304
Talladega County,1121,Alabama,2021,3610462,73253
Talladega County,1121,Alabama,2022,7529965,119219
Tallapoosa County,1123,Alabama,2021,1803285,58398
Tallapoosa County,1123,Alabama,2022,3855845,75684
Tuscaloosa County,1125,Alabama,2021,10376011,175020
Tuscaloosa County,1125,Alabama,2022,18846144,250219
Walker County,1127,Alabama,2021,3103828,106937
Walker County,1127,Alabama,2022,6287752,142625
Washington County,1129,Alabama,2021,711906,14874
Washington County,1129,Alabama,2022,1230856,18780
Wilcox County,1131,Alabama,2021,506334,11192
Wilcox County,1131,Alabama,2022,971840,14755
Winston County,1133,Alabama,2021,1212451,28372
Winston County,1133,Alabama,2022,2507292,41826
Aleutians East Borough,2013,Alaska,2021,131173,870
Aleutians East Borough,2013,Alaska,2022,352487,1036
Aleutians West Census Area,2016,Alaska,2021,262096,54
Aleutians West Census Area,2016,Alaska,2022,556075,425
Anchorage Municipality,2020,Alaska,2021,13733051,80216
Anchorage Municipality,2020,Alaska,2022,34640098,168420
Bethel Census Area,2050,Alaska,2021,1628835,7978
Bethel Census Area,2050,Alaska,2022,3379497,13260
Denali Borough,2068,Alaska,2021,54636,99
Denali Borough,2068,Alaska,2022,305538,390
Dillingham Census Area,2070,Alaska,2021,148845,1170
Dillingham Census Area,2070,Alaska,2022,599524,3739
Fairbanks North Star Borough,2090,Alaska,2021,3535763,19228
Fairbanks North Star Borough,2090,Alaska,2022,9249809,45823
Haines Borough,2100,Alaska,2021,33643,65
Haines Borough,2100,Alaska,2022,208169,323
Juneau City and Borough,2110,Alaska,2021,781224,1827
Juneau City and Borough,2110,Alaska,2022,3031720,6331
Kenai Peninsula Borough,2122,Alaska,2021,2341477,11090
Kenai Peninsula Borough,2122,Alaska,2022,6066471,32666
Ketchikan Gateway Borough,2130,Alaska,2021,337524,1313
Ketchikan Gateway Borough,2130,Alaska,2022,1389106,6028
Kodiak Island Borough,2150,Alaska,2021,560579,2238
Kodiak Island Borough,2150,Alaska,2022,1636883,3749
Matanuska-Susitna Borough,2170,Alaska,2021,5077547,24333
Matanuska-Susitna Borough,2170,Alaska,2022,11520626,75005
Nome Census Area,2180,Alaska,2021,291987,157
Nome Census Area,2180,Alaska,2022,1908331,1587
North Slope Borough,2185,Alaska,2021,560819,1699
North Slope Borough,2185,Alaska,2022,1483477,4076
Northwest Arctic Borough,2188,Alaska,2021,360810,1225
Northwest Arctic Borough,2188,Alaska,2022,1515559,4550
Sitka City and Borough,2220,Alaska,2021,242485,558
Sitka City and Borough,2220,Alaska,2022,876263,1823
Southeast Fairbanks Census Area,2240,Alaska,2021,300716,2238
Southeast Fairbanks Census Area,2240,Alaska,2022,676696,6174
Valdez-Cordova Census Area,2261,Alaska,2021,351148,1291
Valdez-Cordova Census Area,2261,Alaska,2022,999556,6032
Yukon-Koyukuk Census Area,2290,Alaska,2021,166911,1700
Yukon-Koyukuk Census Area,2290,Alaska,2022,471747,3251
Apache County,4001,Arizona,2021,4388287,157123
Apache County,4001,Arizona,2022,8222005,195740
Cochise County,4003,Arizona,2021,4798914,109970
Cochise County,4003,Arizona,2022,10475529,182644
Coconino County,4005,Arizona,2021,7030273,121476
Coconino County,4005,Arizona,2022,14593477,153357
Gila County,4007,Arizona,2021,2860459,85576
Gila County,4007,Arizona,2022,5750836,121709
Graham County,4009,Arizona,2021,2250912,33420
Graham County,4009,Arizona,2022,3964271,56995
Greenlee County,4011,Arizona,2021,278063,4414
