learning_modality,year,state,student_count
Hybrid,2021,AK,24101
Hybrid,2021,AL,34422
Hybrid,2021,AR,6758
Hybrid,2021,AZ,3764
Hybrid,2021,BI,2009
Hybrid,2021,CA,17751
Hybrid,2021,CO,94194
Hybrid,2021,CT,9652
Hybrid,2021,DC,51898
Hybrid,2021,DE,16044
Hybrid,2021,FL,190535
Hybrid,2021,GA,68487
Hybrid,2021,HI,362176
Hybrid,2021,IA,3787
Hybrid,2021,ID,4803
Hybrid,2021,IL,98060
Hybrid,2021,IN,9538
Hybrid,2021,KS,7617
Hybrid,2021,KY,13130
Hybrid,2021,LA,25142
Hybrid,2021,MA,26261
Hybrid,2021,MD,280495
Hybrid,2021,ME,9076
Hybrid,2021,MI,11919
Hybrid,2021,MN,20566
Hybrid,2021,MO,11088
Hybrid,2021,MS,43907
Hybrid,2021,MT,2953
Hybrid,2021,NC,75728
Hybrid,2021,NE,40643
Hybrid,2021,NH,2887
Hybrid,2021,NJ,11703
Hybrid,2021,NM,7151
Hybrid,2021,NV,329553
Hybrid,2021,NY,32716
Hybrid,2021,OH,20642
Hybrid,2021,OK,13335
Hybrid,2021,OR,22601
Hybrid,2021,PA,41435
Hybrid,2021,RI,17255
Hybrid,2021,SC,59365
Hybrid,2021,SD,13620
Hybrid,2021,TN,41337
Hybrid,2021,TX,33302
Hybrid,2021,UT,7217
Hybrid,2021,VA,63071
Hybrid,2021,VT,6355
Hybrid,2021,WA,21438
Hybrid,2021,WI,93903
Hybrid,2021,WV,25523
Hybrid,2022,AK,23460
Hybrid,2022,AL,16973
Hybrid,2022,AR,18665
Hybrid,2022,AZ,7947
Hybrid,2022,BI,2467
Hybrid,2022,CA,13736
Hybrid,2022,CO,195510
Hybrid,2022,CT,10824
Hybrid,2022,DC,11496
Hybrid,2022,DE,11387
Hybrid,2022,GA,39382
Hybrid,2022,HI,181088
Hybrid,2022,IA,15627
Hybrid,2022,ID,6215
Hybrid,2022,IL,23214
Hybrid,2022,IN,10170
Hybrid,2022,KS,48890
Hybrid,2022,KY,29285
Hybrid,2022,LA,8051
Hybrid,2022,MA,14100
Hybrid,2022,MD,425879
Hybrid,2022,ME,9076
Hybrid,2022,MI,6460
Hybrid,2022,MN,15304
