learning_modality,year,student_count,state,population,abbreviation,student_count_per_capita
Hybrid,2021,24101,Alaska,736990,AK,0.03270193625422326
Hybrid,2021,34422,Alabama,4893186,AL,0.007034680471986963
Hybrid,2021,6758,Arkansas,3011873,AR,0.002243786507598428
Hybrid,2021,3764,Arizona,7174064,AZ,0.0005246677475974566
Hybrid,2021,17751,California,39346023,CA,0.0004511510604261071
Hybrid,2021,94194,Colorado,5684926,CO,0.016569081110290616
Hybrid,2021,9652,Connecticut,3570549,CT,0.002703225750437818
Hybrid,2021,51898,District of Columbia,701974,DC,0.07393151313296503
Hybrid,2021,16044,Delaware,967679,DE,0.016579878244748516
Hybrid,2021,190535,Florida,21216924,FL,0.008980330984830788
Hybrid,2021,68487,Georgia,10516579,GA,0.0065122888346105705
Hybrid,2021,362176,Hawaii,1420074,HI,0.2550402302978577
Hybrid,2021,3787,Iowa,3150011,IA,0.001202218024000551
Hybrid,2021,4803,Idaho,1754367,ID,0.0027377395949650216
Hybrid,2021,98060,Illinois,12716164,IL,0.007711445055285541
Hybrid,2021,9538,Indiana,6696893,IN,0.0014242425554656466
Hybrid,2021,7617,Kansas,2912619,KS,0.002615172118289416
Hybrid,2021,13130,Kentucky,4461952,KY,0.002942658280501449
Hybrid,2021,25142,Louisiana,4664616,LA,0.005389939922171514
Hybrid,2021,26261,Massachusetts,6873003,MA,0.003820891683009596
Hybrid,2021,280495,Maryland,6037624,MD,0.04645784500657875
Hybrid,2021,9076,Maine,1340825,ME,0.006768966867413719
Hybrid,2021,11919,Michigan,9973907,MI,0.001195018160887203
Hybrid,2021,20566,Minnesota,5600166,MN,0.0036723911398340693
Hybrid,2021,11088,Missouri,6124160,MO,0.0018105340160936357
Hybrid,2021,43907,Mississippi,2981835,MS,0.014724825484978209
Hybrid,2021,2953,Montana,1061705,MT,0.0027813752407683866
Hybrid,2021,75728,North Carolina,10386227,NC,0.007291194386565978
Hybrid,2021,40643,Nebraska,1923826,NE,0.021126130949472563
Hybrid,2021,2887,New Hampshire,1355244,NH,0.0021302437051925706
Hybrid,2021,11703,New Jersey,8885418,NJ,0.001317101795323529
Hybrid,2021,7151,New Mexico,2097021,NM,0.0034100755309555792
Hybrid,2021,329553,Nevada,3030281,NV,0.10875328063635023
Hybrid,2021,32716,New York,19514849,NY,0.0016764669816302447
Hybrid,2021,20642,Ohio,11675275,OH,0.0017680097470937515
Hybrid,2021,13335,Oklahoma,3949342,OK,0.003376511834123254
Hybrid,2021,22601,Oregon,4176346,OR,0.005411668477659657
Hybrid,2021,41435,Pennsylvania,12794885,PA,0.0032384034713871987
Hybrid,2021,17255,Rhode Island,1057798,RI,0.016312188149344205
Hybrid,2021,59365,South Carolina,5091517,SC,0.011659589862903335
Hybrid,2021,13620,South Dakota,879336,SD,0.015488959851524332
Hybrid,2021,41337,Tennessee,6772268,TN,0.0061038635801182115
Hybrid,2021,33302,Texas,28635442,TX,0.001162964413121334
Hybrid,2021,7217,Utah,3151239,UT,0.0022902102950617203
Hybrid,2021,63071,Virginia,8509358,VA,0.007411957517829195
Hybrid,2021,6355,Vermont,624340,VT,0.010178748758689175
Hybrid,2021,21438,Washington,7512465,WA,0.0028536572216975387
Hybrid,2021,93903,Wisconsin,5806975,WI,0.01617072572208422
Hybrid,2021,25523,West Virginia,1807426,WV,0.014121186704185953
Hybrid,2022,23460,Alaska,736990,AK,0.03183218225484742
Hybrid,2022,16973,Alabama,4893186,AL,0.003468701169340385
Hybrid,2022,18665,Arkansas,3011873,AR,0.006197140450477162
Hybrid,2022,7947,Arizona,7174064,AZ,0.001107740326821729
Hybrid,2022,13736,California,39346023,CA,0.0003491077103269116
Hybrid,2022,195510,Colorado,5684926,CO,0.034390948976292746
Hybrid,2022,10824,Connecticut,3570549,CT,0.0030314665895916845
Hybrid,2022,11496,District of Columbia,701974,DC,0.016376674919583917
Hybrid,2022,11387,Delaware,967679,DE,0.011767331935486871
Hybrid,2022,39382,Georgia,10516579,GA,0.0037447538786139485
Hybrid,2022,181088,Hawaii,1420074,HI,0.12752011514892886
Hybrid,2022,15627,Iowa,3150011,IA,0.004960935057052182
Hybrid,2022,6215,Idaho,1754367,ID,0.003542588295379473
Hybrid,2022,23214,Illinois,12716164,IL,0.001825550535523134
Hybrid,2022,10170,Indiana,6696893,IN,0.0015186146769852827
Hybrid,2022,48890,Kansas,2912619,KS,0.01678558026298668
Hybrid,2022,29285,Kentucky,4461952,KY,0.006563270963022462
Hybrid,2022,8051,Louisiana,4664616,LA,0.0017259727274442313
Hybrid,2022,14100,Massachusetts,6873003,MA,0.0020515049971606297
Hybrid,2022,425879,Maryland,6037624,MD,0.07053751608248543
Hybrid,2022,9076,Maine,1340825,ME,0.006768966867413719
Hybrid,2022,6460,Michigan,9973907,MI,0.0006476900175628267
Hybrid,2022,15304,Minnesota,5600166,MN,0.0027327761355645528
Hybrid,2022,12282,Missouri,6124160,MO,0.0020054995297314245
Hybrid,2022,5550,Mississippi,2981835,MS,0.0018612699897881673
Hybrid,2022,352,Montana,1061705,MT,0.0003315421892145182
Hybrid,2022,38088,North Carolina,10386227,NC,0.0036671642166110946
Hybrid,2022,863,North Dakota,760394,ND,0.0011349379400679121
Hybrid,2022,26706,Nebraska,1923826,NE,0.013881712795232001
Hybrid,2022,7043,New Hampshire,1355244,NH,0.005196850161299367
Hybrid,2022,4989,New Jersey,8885418,NJ,0.0005614817445842165
Hybrid,2022,101480,New Mexico,2097021,NM,0.04839245768163504
Hybrid,2022,183710,Nevada,3030281,NV,0.06062474074186519
Hybrid,2022,8208,New York,19514849,NY,0.00042060279328833136
Hybrid,2022,27701,Ohio,11675275,OH,0.002372620773386494
Hybrid,2022,9505,Oklahoma,3949342,OK,0.0024067300324965525
Hybrid,2022,29651,Oregon,4176346,OR,0.007099747003720477
Hybrid,2022,36335,Pennsylvania,12794885,PA,0.0028398066883758627
Hybrid,2022,3526,Rhode Island,1057798,RI,0.0033333396357338547
Hybrid,2022,12304,South Carolina,5091517,SC,0.0024165685786770425
Hybrid,2022,930,South Dakota,879336,SD,0.0010576162013155382
Hybrid,2022,30515,Tennessee,6772268,TN,0.004505876022626394
Hybrid,2022,75592,Texas,28635442,TX,0.00263980559475911
Hybrid,2022,40302,Utah,3151239,UT,0.012789255273877989
Hybrid,2022,116016,Virginia,8509358,VA,0.013633931020413055
Hybrid,2022,3860,Vermont,624340,VT,0.00618252875036038
Hybrid,2022,26094,Washington,7512465,WA,0.0034734271640533432
Hybrid,2022,10941,Wisconsin,5806975,WI,0.0018841135014357733
Hybrid,2022,21680,West Virginia,1807426,WV,0.01199495857645071
In Person,2021,16355,Alaska,736990,AK,0.022191617253965453
In Person,2021,27388,Alabama,4893186,AL,0.005597171249979053
In Person,2021,10508,Arkansas,3011873,AR,0.003488858925990571
In Person,2021,12004,Arizona,7174064,AZ,0.0016732496392560757
In Person,2021,27546,California,39346023,CA,0.0007000961698212803
In Person,2021,26648,Colorado,5684926,CO,0.004687484058719498
In Person,2021,13860,Connecticut,3570549,CT,0.003881755998867401
In Person,2021,8955,District of Columbia,701974,DC,0.012756882733548537
In Person,2021,19087,Delaware,967679,DE,0.019724516084362688
In Person,2021,226726,Florida,21216924,FL,0.010686091914171914
In Person,2021,45588,Georgia,10516579,GA,0.004334869732828517
In Person,2021,905440,Hawaii,1420074,HI,0.6376005757446442
In Person,2021,8424,Iowa,3150011,IA,0.0026742763755428158
In Person,2021,11029,Idaho,1754367,ID,0.006286597958123927
In Person,2021,11498,Illinois,12716164,IL,0.0009042035003637889
In Person,2021,15051,Indiana,6696893,IN,0.0022474601281519653
In Person,2021,9280,Kansas,2912619,KS,0.0031861359141034237
In Person,2021,22068,Kentucky,4461952,KY,0.004945817435956281
