county,fips,state,year,month,cases_count,deaths_count
abbeville,45001,south carolina,2021,1,46891,834
abbeville,45001,south carolina,2021,2,58234,918
abbeville,45001,south carolina,2021,3,72427,1105
abbeville,45001,south carolina,2021,4,75231,1162
abbeville,45001,south carolina,2021,5,79939,1271
abbeville,45001,south carolina,2021,6,77960,1230
abbeville,45001,south carolina,2021,7,80836,1271
abbeville,45001,south carolina,2021,8,86177,1287
abbeville,45001,south carolina,2021,9,100132,1305
abbeville,45001,south carolina,2021,10,116342,1492
abbeville,45001,south carolina,2021,11,116838,1498
abbeville,45001,south carolina,2021,12,126704,1631
abbeville,45001,south carolina,2022,1,160983,1750
abbeville,45001,south carolina,2022,2,181654,1774
abbeville,45001,south carolina,2022,3,205186,2124
abbeville,45001,south carolina,2022,4,199209,2074
abbeville,45001,south carolina,2022,5,206572,2139
abbeville,45001,south carolina,2022,6,201868,2070
abbeville,45001,south carolina,2022,7,212801,2139
abbeville,45001,south carolina,2022,8,219384,2139
abbeville,45001,south carolina,2022,9,216737,2070
abbeville,45001,south carolina,2022,10,225570,2174
abbeville,45001,south carolina,2022,11,87680,852
acadia,22001,louisiana,2021,1,170861,5218
acadia,22001,louisiana,2021,2,167167,5023
acadia,22001,louisiana,2021,3,191885,5795
acadia,22001,louisiana,2021,4,191202,5725
acadia,22001,louisiana,2021,5,203538,5987
acadia,22001,louisiana,2021,6,202410,5863
acadia,22001,louisiana,2021,7,217043,6138
acadia,22001,louisiana,2021,8,264155,6624
acadia,22001,louisiana,2021,9,298654,7002
acadia,22001,louisiana,2021,10,321707,7669
acadia,22001,louisiana,2021,11,317124,7505
acadia,22001,louisiana,2021,12,334479,7845
acadia,22001,louisiana,2022,1,402151,8065
acadia,22001,louisiana,2022,2,437111,7907
acadia,22001,louisiana,2022,3,490697,8947
acadia,22001,louisiana,2022,4,476119,8758
acadia,22001,louisiana,2022,5,493580,9114
acadia,22001,louisiana,2022,6,485612,8838
acadia,22001,louisiana,2022,7,523969,9164
acadia,22001,louisiana,2022,8,544585,9230
acadia,22001,louisiana,2022,9,542805,8955
acadia,22001,louisiana,2022,10,565364,9331
acadia,22001,louisiana,2022,11,219303,3643
accomack,51001,virginia,2021,1,64478,933
accomack,51001,virginia,2021,2,70158,942
accomack,51001,virginia,2021,3,82373,1121
accomack,51001,virginia,2021,4,82780,1193
accomack,51001,virginia,2021,5,87914,1284
accomack,51001,virginia,2021,6,85997,1329
accomack,51001,virginia,2021,7,89456,1420
accomack,51001,virginia,2021,8,96234,1473
accomack,51001,virginia,2021,9,106539,1809
accomack,51001,virginia,2021,10,122852,2285
