zip,countyname,stcountyfp
36003,Autauga ,1001
36006,Autauga ,1001
36008,Autauga ,1001
36022,Autauga ,1001
36051,Autauga ,1001
36066,Autauga ,1001
36067,Autauga ,1001
36091,Autauga ,1001
36703,Autauga ,1001
36749,Autauga ,1001
36758,Autauga ,1001
36502,Baldwin ,1003
36507,Baldwin ,1003
36511,Baldwin ,1003
36526,Baldwin ,1003
36527,Baldwin ,1003
36530,Baldwin ,1003
36532,Baldwin ,1003
36535,Baldwin ,1003
36542,Baldwin ,1003
36549,Baldwin ,1003
36550,Baldwin ,1003
36551,Baldwin ,1003
36555,Baldwin ,1003
36559,Baldwin ,1003
36561,Baldwin ,1003
36562,Baldwin ,1003
36564,Baldwin ,1003
36567,Baldwin ,1003
36574,Baldwin ,1003
36576,Baldwin ,1003
36578,Baldwin ,1003
36579,Baldwin ,1003
36580,Baldwin ,1003
36016,Barbour ,1005
36017,Barbour ,1005
36027,Barbour ,1005
36048,Barbour ,1005
36053,Barbour ,1005
36311,Barbour ,1005
36317,Barbour ,1005
36374,Barbour ,1005
35034,Bibb ,1007
35035,Bibb ,1007
35042,Bibb ,1007
35074,Bibb ,1007
35111,Bibb ,1007
35115,Bibb ,1007
35184,Bibb ,1007
35188,Bibb ,1007
35456,Bibb ,1007
36750,Bibb ,1007
36792,Bibb ,1007
36793,Bibb ,1007
35013,Blount ,1009
35016,Blount ,1009
35031,Blount ,1009
35049,Blount ,1009
35063,Blount ,1009
35079,Blount ,1009
35097,Blount ,1009
35121,Blount ,1009
35126,Blount ,1009
35133,Blount ,1009
35146,Blount ,1009
35172,Blount ,1009
35180,Blount ,1009
35952,Blount ,1009
35957,Blount ,1009
35976,Blount ,1009
35980,Blount ,1009
36005,Bullock ,1011
36029,Bullock ,1011
36031,Bullock ,1011
36052,Bullock ,1011
36053,Bullock ,1011
36089,Bullock ,1011
36015,Butler ,1013
36030,Butler ,1013
36032,Butler ,1013
36033,Butler ,1013
36037,Butler ,1013
36042,Butler ,1013
36071,Butler ,1013
36456,Butler ,1013
35096,Calhoun ,1015
35905,Calhoun ,1015
36201,Calhoun ,1015
36203,Calhoun ,1015
36204,Calhoun ,1015
36205,Calhoun ,1015
36206,Calhoun ,1015
36207,Calhoun ,1015
36250,Calhoun ,1015
36253,Calhoun ,1015
36254,Calhoun ,1015
36257,Calhoun ,1015
36260,Calhoun ,1015
36265,Calhoun ,1015
36271,Calhoun ,1015
36272,Calhoun ,1015
36277,Calhoun ,1015
36279,Calhoun ,1015
36274,Chambers ,1017
36276,Chambers ,1017
36801,Chambers ,1017
36850,Chambers ,1017
36852,Chambers ,1017
36854,Chambers ,1017
36855,Chambers ,1017
36862,Chambers ,1017
36863,Chambers ,1017
36879,Chambers ,1017
35901,Cherokee ,1019
35903,Cherokee ,1019
35959,Cherokee ,1019
35960,Cherokee ,1019
35961,Cherokee ,1019
35967,Cherokee ,1019
35973,Cherokee ,1019
35983,Cherokee ,1019
35984,Cherokee ,1019
36272,Cherokee ,1019
36275,Cherokee ,1019
35040,Chilton ,1021
35045,Chilton ,1021
35046,Chilton ,1021
35085,Chilton ,1021
35115,Chilton ,1021
35171,Chilton ,1021
36006,Chilton ,1021
36051,Chilton ,1021
36091,Chilton ,1021
36750,Chilton ,1021
36758,Chilton ,1021
36790,Chilton ,1021
36792,Chilton ,1021
36793,Chilton ,1021
36904,Choctaw ,1023
36908,Choctaw ,1023
36910,Choctaw ,1023
36912,Choctaw ,1023
36913,Choctaw ,1023
36915,Choctaw ,1023
36916,Choctaw ,1023
36919,Choctaw ,1023
36921,Choctaw ,1023
36922,Choctaw ,1023
36436,Clarke ,1025
36446,Clarke ,1025
36451,Clarke ,1025
36482,Clarke ,1025
36524,Clarke ,1025
36540,Clarke ,1025
36545,Clarke ,1025
36727,Clarke ,1025
36784,Clarke ,1025
35072,Clay ,1027
35082,Clay ,1027
35160,Clay ,1027
36251,Clay ,1027
36255,Clay ,1027
36256,Clay ,1027
36258,Clay ,1027
36266,Clay ,1027
36267,Clay ,1027
36268,Clay ,1027
36276,Clay ,1027
36258,Cleburne ,1029
36261,Cleburne ,1029
36262,Cleburne ,1029
36264,Cleburne ,1029
36268,Cleburne ,1029
36269,Cleburne ,1029
36272,Cleburne ,1029
36273,Cleburne ,1029
36009,Coffee ,1031
36010,Coffee ,1031
36034,Coffee ,1031
36079,Coffee ,1031
36311,Coffee ,1031
36316,Coffee ,1031
36318,Coffee ,1031
36323,Coffee ,1031
36330,Coffee ,1031
36346,Coffee ,1031
36351,Coffee ,1031
36453,Coffee ,1031
36467,Coffee ,1031
36477,Coffee ,1031
35582,Colbert ,1033
35616,Colbert ,1033
35646,Colbert ,1033
35653,Colbert ,1033
35654,Colbert ,1033
35660,Colbert ,1033
35661,Colbert ,1033
35672,Colbert ,1033
35674,Colbert ,1033
36033,Conecuh ,1035
36401,Conecuh ,1035
36426,Conecuh ,1035
36429,Conecuh ,1035
36432,Conecuh ,1035
36454,Conecuh ,1035
36460,Conecuh ,1035
36471,Conecuh ,1035
36473,Conecuh ,1035
